,sents
10003,The hosts continued to carry the greater attacking threat after the restart and deservedly drew level late on as Shaughnessy volleyed beyond Andy Lonergan in goal after former England youth international Franck Nouble had flashed a dangerous cross into the six-yard-box
10004,"Clearly affected by that moment, Shaughnessy nearly made a second costly mistake straight after as he sliced a cross up into the air towards Nouble at the back post and the winger perhaps should have scored as he headed over the bar from close range"
10005,"In the 89th minute, on-loan Bristol City striker McCoulsky rose highest to head home the winner before Samu Saiz was then sent off for Leeds amid allegations of spitting"
10006,"The drama didn't end there, though, as just moments after the goal, Saiz was shown a red card by Mike Dean after Willmott intimated that he had been spat on by the Spanish playmaker who in turn claimed that he had been elbowed"
10007,"Fleetwood, playing their first game against top-flight opposition, went closest in the first half as Aleksandar Dragovic's backpass had to be tipped away by goalkeeper Eldin Jakupovic"
10008,"Fleetwood nearly grabbed a dream winner in the 91st minute through Hunter, whose low effort deflected off Yohan Benalouane and hit the post, before deflecting off Jakupovic and again hitting foot of the post"
10009,"Fleetwood nearly grabbed a dream winner in the 91st minute through Hunter, whose low effort deflected off Yohan Benalouane and hit the post, before deflecting off Jakupovic and again hitting foot of the post"
10010,"Dragovic nearly scored a disastrous own goal, seeing his backpass heading for the net only for Jakupovic's diving save, but despite the pass being intentional, no indirect free-kick was given inside the area"
10011,"The replay will be played week commencing January 15 at the King Power Stadium, while the fourth-round draw will take place on Monday night"
10012,"Andy King and Islam Slimani both missed half chances from Demarai Gray crosses in the first half, before Cian Bolger put an unmarked header from a corner over the bar after the break for Fleetwood"
10013,"Andy King and Islam Slimani both missed half chances from Demarai Gray crosses in the first half, before Cian Bolger put an unmarked header from a corner over the bar after the break for Fleetwood"
10014,"Andy King and Islam Slimani both missed half chances from Demarai Gray crosses in the first half, before Cian Bolger put an unmarked header from a corner over the bar after the break for Fleetwood"
10015,"Their first real opportunity fell to Erik Lamela, whose powerful volley from the edge of the box was parried by Long in the 18th minute, and soon after that Kane fired wastefully over from a Fernando Llorente knockdown"
10016,Forest 'keeper Jordan Smith saved well from substitute Eddie Nketiah but was then at fault as he let the ball out of his grip and Welbeck tapped into the empty net
10017,"But Kieran Dowell hit back with Forest's second penalty of the game, despite slipping and appearing to kick the ball with both feet, and the hosts held on for a famous win even after Joe Worrall was sent off"
10018," And even though Forest saw Worrall sent off for two quick yellow cards, they still held on for victory"
10019,"At that stage it looked like Forest might have to endure a nervy finish, but the mood was lifted when Mathieu Debuchy fouled Armand Traore in the box"
10020," After Ospina twice saved from Brereton, it was Lichaj who struck again for Forest, this time chesting down on the edge of the box and hitting a superb volley into the far corner"
10021,"At that stage it looked like Forest might have to endure a nervy finish, but the mood was lifted when Mathieu Debuchy fouled Armand Traore in the box"
10022,Eric Lichaj headed Forest in front in the 20th minute and then scored a brilliant volley late in the first half after Per Mertesacker had equalised for Arsenal
10023,Arsenal responded quickly as Rob Holding headed against the post from a corner and Mertesacker turned in the rebound
10024,"The 18-year-old tormented Mertesacker with his pace, held the ball up well against Holding and won several free-kicks to give his side some recovery time in the second half"
10025,Arsenal responded quickly as Rob Holding headed against the post from a corner and Mertesacker turned in the rebound
10026,Arsenal continued to lack a cutting edge after the break and they fell further behind in the 64th minute as Holding tripped Cash in the box and Brereton converted the penalty
10027,"The 18-year-old tormented Mertesacker with his pace, held the ball up well against Holding and won several free-kicks to give his side some recovery time in the second half"
10028,"Ben Brereton made it 3-1 when he converted a penalty after half-time, only for Danny Welbeck to give the Gunners a lifeline when he replied in the 79th minute"
10029,Forest 'keeper Jordan Smith saved well from substitute Eddie Nketiah but was then at fault as he let the ball out of his grip and Welbeck tapped into the empty net
10030,Forest 'keeper Jordan Smith saved well from substitute Eddie Nketiah but was then at fault as he let the ball out of his grip and Welbeck tapped into the empty net
10031,"The home side began brightly and almost all of the attacking players tried their luck in the opening stages, Ander Herrera heading wide and Juan Mata forcing a good save from Carson"
10032,It had looked like being a frustrating night for Jose Mourinho's team as Marcus Rashford hit the post twice and Scott Carson pulled off a series of fine saves for Derby
10033,The breakthrough really should have come 10 minutes before the interval when Rashford headed Henrikh Mkhitaryan's right-wing cross against the post from close range
10034,"There was still time for Lukaku to combine brilliantly on the break with fellow substitute Anthony Martial and mark his return to the squad with a goal, beating Carson with his right foot"
10035,Their best openings came in the second half as Danny Drinkwater shot wide from near the penalty spot and Willian saw an effort turned past the post by Angus Gunn
10036,Chelsea set the tone for their below-par performance in the first half when they regularly gave the ball away and failed to trouble Norwich goalkeeper Gunn
10037,The Brazilian saw a couple of shots saved by Gunn and also picked out Drinkwater with a low cross from which he fired wide
10038,But Norwich managed to stem the tide and Alex Pritchard shot over in a rare second-half opening for the hosts
10039,"The hosts looked comfortable in defence and also created opportunities, with Josh Murphy dragging a shot wide from inside the box and James Maddison firing over the bar late in the half"
10040,The German came into the side in place of Nelson Oliveira and helped keep Michy Batshuayi and then Alvaro Morata quiet in a solid display
10041,Their best openings came in the second half as Danny Drinkwater shot wide from near the penalty spot and Willian saw an effort turned past the post by Angus Gunn
